Population,Plant,Trait,TransplantSite,TraitValue
Clayton,3965-24,NumStems,Stanford,8
Clayton,3965-24,NumStems,Mather,9.3
Clayton,3965-24,NumStems,Timberline,0
Clayton,3965-25,StemLength,Stanford,75
Clayton,3965-25,StemLength,Mather,31
Clayton,3965-25,StemLength,Timberline,0
Clayton,3965-25,NumStems,Stanford,12.3
Clayton,3965-25,NumStems,Mather,5.3
Clayton,3965-25,NumStems,Timberline,0
Clayton,3965-26,StemLength,Stanford,83
Clayton,3965-26,StemLength,Mather,46
Clayton,3965-26,StemLength,Timberline,0
Clayton,3965-26,NumStems,Stanford,8.3
Clayton,3965-26,NumStems,Mather,8.7
Clayton,3965-26,NumStems,Timberline,0
Clayton,3965-27,StemLength,Stanford,75
Clayton,3965-27,StemLength,Mather,45
Clayton,3965-27,StemLength,Timberline,0
Clayton,3965-27,NumStems,Stanford,22.7
Clayton,3965-27,NumStems,Mather,14
Clayton,3965-27,NumStems,Timberline,0
Clayton,3965-28,StemLength,Stanford,65
Clayton,3965-28,StemLength,Mather,33
Clayton,3965-28,StemLength,Timberline,0
Clayton,3965-28,NumStems,Stanford,23
Clayton,3965-28,NumStems,Mather,8
Clayton,3965-28,NumStems,Timberline,0
Clayton,3965-29,StemLength,Stanford,49
Clayton,3965-29,StemLength,Mather,13
Clayton,3965-29,StemLength,Timberline,0
Clayton,3965-29,NumStems,Stanford,7.5
Clayton,3965-29,NumStems,Mather,6
Clayton,3965-29,NumStems,Timberline,0
Clayton,3965-30,StemLength,Stanford,62
Clayton,3965-30,StemLength,Mather,22
Clayton,3965-30,StemLength,Timberline,0
Clayton,3965-30,NumStems,Stanford,7.7
Clayton,3965-30,NumStems,Mather,8
Clayton,3965-30,NumStems,Timberline,0
Grovelan,3967-1,StemLength,Stanford,86
Grovelan,3967-1,StemLength,Mather,41
Grovelan,3967-1,StemLength,Timberline,0
Grovelan,3967-1,NumStems,Stanford,20.7
Grovelan,3967-1,NumStems,Mather,4.5
Grovelan,3967-1,NumStems,Timberline,0
Grovelan,3967-2,StemLength,Stanford,93
Grovelan,3967-2,StemLength,Mather,62
Grovelan,3967-2,StemLength,Timberline,0
Grovelan,3967-2,NumStems,Stanford,14
Grovelan,3967-2,NumStems,Mather,20.3
Grovelan,3967-2,NumStems,Timberline,0
Grovelan,3967-3,StemLength,Stanford,77
